Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,KAWS — Companionship in the Age of Loneliness,"Artist, Designer, creator of Companion figure","KAWS is the renowned designer of the Companion figure and toy series. From 2019 to 2020, he held a solo exhibition at the National Gallery of Victoria titled ""Companionship in the Age of Loneliness."" His sculptures, while playful and toy-like, explore a variety of themes, including hope and humanity. Among them, the piece ""Gone,"" displayed in the lobby of the National Gallery of Victoria, features two cartoonish figures, but the names and poses convey a sense of powerlessness behind a dark background. These works influenced my thinking about how to display the emotional aspects of my work, allowing users to achieve an emotional resonance with the piece within a blink of time.",https://account.memoreview.net/media/pages/reviews/kaws-companionship-in-the-age-of-loneliness/6b1347862f-1635804888/tjr_4812_-1-edit_web.jpg,,"KAWS, Gone, instalation in 2019",,https://www.ngv.vic.gov.au/media_release/kaws-companionship-in-the-age-of-loneliness/,"Modern Art, Companion, Sculpture", 
left,Line Finderup,"Danish Artist, 1991-","Line Finderup's work, which has been exhibited at Yusto/Giner and Madrid Gallery Weekend, is known for its cross-media artworks that blend games and art. For example, in What Was I Made For?, Line Finderup explored the emotions and concerns they have about the digital life within electronic devices. One example of Line Finderup's work is the image on the right, which depicts a life scene inside a Tamagotchi screen, focusing on how people also empathise with digital life, which also needs attention, cleanliness and entertainment. Just as I hope my artwork can allow people to feel the emotions it possesses.",https://koaxmagazine.com/wp-content/uploads/2025/09/3-14.jpg,,One of the artwork in What was I made for serie,,https://koaxmagazine.com/what-was-i-made-for-line-finderup/,"Game, 2D Art, Conceptual Art",
leftDoubleImage,Wade Marynowsky — The Acconci Robot,"Australian Artist, 1974-","Wade Marynowsky has participated in dozens of exhibitions in different regions. He is an interdisciplinary artist whose themes encompass robotics, installation, interactive art and music, with a focus on physical art. His work explores human-computer interaction and the complex emotions of the digital age. The Acconci Robot is a humorous, uncanny robot that remains motionless when facing the user's front, but will secretly follow them when their back is turned. Observing The Acconci Robot's interactions with others creates a striking interactivity with a sense of horror and humor, arousing curiosity and leaving a lasting impression.",https://content.ngv.vic.gov.au/col-images/api/EXHI022027/1280,https://wademarynowsky.art/images/Acconci/Acconci1.jpg,"Wade Marynowsky, The Host","Wade Marynowsky, The Acconci Robot",https://www.ngv.vic.gov.au/essay/contemporary-artefacts-and-narcissistic-robots-an-interview-with-wade-marynowsky/,"Physical Computing, Companion, Electrionics, Robotics",
left,Beeple — Regular Animals,"Digital Artist, Visual Designer","Beeple is an American artist whose work themes popular culture, technology, and political satire. He is also involved in creating and auctioning NFT artworks, making him a leading figure in blockchain art. Beeple's Regular Animals is a group of robotic dogs that move, take photos, and then expel ""excrement samples"" from their rear. Each dog has the head of a different famous person, and different filters are applied to its excrement sample based on the head. For example, a dog with Elon Musk's head runs faster and rests less, his output photos are processed with a ""Cognitive blueprint"" filter. Beeple's dogs use a low-brow, humorous interaction to allude to deeper meanings, which is very interesting and quickly attracts attention.",https://pagesix.com/wp-content/uploads/sites/3/2025/12/beeples-regular-animals-elon-musk-116668164.jpg,,"Beeple, Regular Animals, and their “excrement sample”",,https://regularanimals.ai/founders-edition.html,"Robotics, Physical Computing, Interactive Art",
leftDoubleImage,Stelarc,"Australian Performing Artist, 1946-","Stelarc is known for his radical, experimental performance art. Articulated Head is a robotic arm that moves, listens, and interacts with the audience, even listening to their conversations and providing ""mediocre responses."" It aims to create a method for human-machine interaction before the advent of AI. In Fractal Flesh, Stelarc himself is connected to an electrostimulation system, allowing audience members from different regions of the world to input commands and control his body via the internet. Stelarc's art discusses where the boundary between humans and machines lies when machines possess consciousness and behavioral capabilities.",https://www.canberra.edu.au/__data/assets/image/0009/1764414/171A4918.jpg,https://images.squarespace-cdn.com/content/v1/61774d92afd3c117cdba5d50/9d26d0ea-2e7d-45bc-8dd0-33e42863ee34/image%2B3.png,"Stelarc, Articulated Head","Stelarc, Fractal Flesh",https://www.northwesternartreview.org/articles/an-interview-with-stelarc,"Performing Art, Bio-art, Physical Computing",
left,Ai-Da,an AI robot built by Aidan Meller Gallery at 1029,"Ai-Da is an AI-powered humanoid robot artist capable of creating paintings, sculptures, and poems herself. Her existence explores the question of whether creativity is unique to humans. Her works and the Ai-Da herself have been exhibited at Oxford University, the Design Museum in London, and the Venice Biennale. When the tools we create are so powerful that our creative process is even forced to use the outputs of the tools we create, are our works created by us or by the tools?",https://backend.artreview.com/wp-content/uploads/2021/05/newAI-DA-9.-PA-photo.-c-David-Parry_PA-Wire-1230x820.jpg,,"Ai-Da, Ai-Da",,https://designmuseum.org/exhibitions/ai-da-portrait-of-the-robot,"Robotics, AI",
leftDoubleImage,Agnieszka Kurant,"Polish Designer, interdisciplinary conceptual Artist","Agnieszka Kurant's art explores the collective, collaborative, labour, and creation of various species. For example, her artworks in the Marian Goodman Gallery include coral, bonsai, and ornaments as art forms, emphasizing the results achieved through the collaboration of objects and their individual contributions in the aesthetic process. Her work has inspired the artistic display of how each part of my work is composed.","https://static-assets.artlogic.net/w_5000,h_5000,c_limit,f_auto,fl_lossy,q_auto/ws-mariangoodman/usr/exhibitions/images/feature_panels/3868/29757_29822_29585_-29761_29762kurantphotocreditelisabethbernstein_approved_33612-crop.jpg",https://www-images.lacma.org/s3fs-public/inline-images/A.A.I.%20%28Artificial%20Artificial%20Intelligence%29.jpeg,Agnieszka Kurant's solo exhibition in Marian Goodman Gallery,"Agnieszka Kurant, A.A.I. (Artificial Artificial Intelligence), 2017",https://www.lacma.org/lab/project/artificial-society-collective-tamagotchi,"Composite Art, Sculpture",
leftDoubleImage,Aisen Caro Chacin — Play-A-Grill,Artist,"Aisen Caro Chacin's Play-A-Grill is a tool similar to bone conduction headphones, but designed to be mounted on the teeth. The device’s idea is interesting, but with a simple backend. I can imagine creating it using an Arduino with some other electronic components. This work gave me ideas on what Arduino-based artwork could look like, what functions it could have, and how to place the electronic components.",http://aisencaro.com/playagrill-drawings.jpg,http://aisencaro.com/playa4.jpg,Play-A-Grill's blueprint,Play-A-Grill's implementation,http://aisencaro.com/play-a-grill.html,"Physical Computing, Interactive Art, Robotics",
left,John Giorno — Dial-a-Poem,"American poet, performance artist","Dial-a-Poem is a unique service that allows anyone to randomly hear a poem recited by the poet themselves simply by dialing a phone number, eliminating the need to go to a library or buy a book. This service demonstrates the benefits of technological advancement and how it helps bring art into everyday life.",https://www.messynessychic.com/wp-content/uploads/2020/05/Screenshot-2020-05-19-at-12.12.18-930x669.png,,John Giorno and Diel Phones,,https://dial-a-poem.org/,"Physical Computing, Interactive Art",
left,Marcin Ignac & Damien Seguin — See with optimism,Artist & Programmer,"Marcin Ignac & Damien Seguin designed a dynamic face-mapped illustration space for Chloé eyewear, inviting people to interact with the glasses in novel ways and to reconstruct their faces using a unique structural approach and dynamic lines.",https://variable.io/chloe-see-with-optimism/assets/map-portrait-to-3d.jpg,,See with optimism's process of going from 2D portraits to 3D model,,https://variable.io/chloe-see-with-optimism/,"Physical Computing, Interactive Art",
